id,pedido_id,sku,descripcion,gramaje,cantidad_pedida,cantidad_fisica,novedad,observaciones,auditado_por,auditado_en
21807,10459,38100179562,Pro Plan Veterinary Diets - NF Kidney Function Early Care Feline,156 GR,6,6,sin_novedad,"",21,2026-03-29 14:19:50.956461
21652,10386,7709376807673,Pixie - Dieta Horneada Carne De Res,500 GR,13,13,sin_novedad,"",21,2026-03-29 14:20:17.249377
21606,10366,7708228519375,True Nature - Alimento Puppy Razas Pequeñas Pollo y Vegetales,2 KG,1,1,sin_novedad,"",21,2026-03-29 14:20:19.881555
2527,1335,074198611010,Taste Of The Wild - Sierra Mountain,5 LB,1,,sin_novedad,,,
2531,1337,606110136310,Wow Can - Alimento Carne De Res Al Vapor sin Refrigeración,300 GR,2,,sin_novedad,,,
2532,1337,7898349703101,Monello - Tradicional Adulto,7 KG,1,,sin_novedad,,,
2538,1341,736990005168,Shed X - Suplemento Perros.,16 OZ,1,,sin_novedad,,,
2539,1341,7707205157739,Agility Gold - Piel Grandes Adultos,8 KG,1,,sin_novedad,,,
17954,8711,7709376807611,Pixie - Dieta Horneada Gato Pescado,200 GR,1,,sin_novedad,,,
17966,8717,4064951005671,NexGard Combo Cat - 2.5 Kg - 7.5 Kg,L,1,1,sin_novedad,"",27,2026-02-26 22:21:00.186362
17953,8711,788115399201,Salvaje - Dieta Cocinada Al Vapor Natural sin Refrigeración de Pollo,Pollo,1,1,sin_novedad,"",27,2026-02-26 22:19:12.562805
11,6,7708388303036,Dog's Natural Care -  Jabón Origen Fusión Vital,110 gr,1,1,sin_novedad,Cantidad correcta,18,2026-01-30 01:24:46.013257
12819,6288,052742057545,Hills Sd - Piel Y Estomago Sensible Alimento Perro Adulto Sabor Pollo,4LB,1,1,sin_novedad,"",27,2026-02-23 14:49:46.776491
12824,6291,750258952865,Whole Barf - Tasty Tilapia,500 GR,10,10,sin_novedad,"",21,2026-02-23 15:09:58.444569
12823,6291,750258952827,Whole Barf - Tasty Buffalo,500 GR,10,10,sin_novedad,"",21,2026-02-23 15:13:40.353901
17965,8717,857848000682,Max - Cat Castrados,1 KG,1,1,sin_novedad,"",27,2026-02-26 22:19:18.608424
17952,8711,7898349703576,Monello -  Cat Salmon Atún Y Pollo,7 KG,1,1,sin_novedad,"",27,2026-02-26 22:20:12.773617
20193,9731,052742725208,Hills Pd K/D Alimento Saludable Para Gato Cuidado Renal Sabor Pollo,4 LB,1,1,sin_novedad,"",27,2026-02-27 14:58:23.452346
19766,9538,7709990740271,Artri-Tabs - Tabletas Saborizadas.,45 MEDICAMENTOS,1,1,sin_novedad,"",27,2026-02-27 14:58:40.133846
22061,10575,850030015464,Churu - Inaba Cat Snack Churu Caja Variedad Atún 280 g,20 Uds,1,1,sin_novedad,"",4,2026-02-27 18:20:12.136531
2571,1354,7898604431190,Vet Life - Gatos Renal,2 KG,1,,sin_novedad,,,
2576,1357,731199797845,Happy Barf - Alimento Congelado Sabor Pollo,500 GR,7,,sin_novedad,,,
2581,1361,7896588951994,Max - Cat Castrados,3 KG,1,,sin_novedad,,,
2582,1362,7709049265762,Br For Cat - Wild Kitten,3 KG,2,,sin_novedad,,,
2592,1368,052742024578,Hill'S Pd - Gastrointestinal Biome Alimento Saludable Perro Sabor Pollo,16 LB,1,,sin_novedad,,,
2593,1368,038100119315,Pro Plan Veterinary Diets - Supplement Fortiflora X 30 Unid,900 GR,1,,sin_novedad,,,
2595,1370,7709214028864,Canada Litter - Arena Para Gato,4.5 KG,2,,sin_novedad,,,
2596,1371,7703090508328,Ringo Original - Adulto,30 KG,1,,sin_novedad,,,
2597,1372,7709914970623,Br For Cat - Adulto Castrados,10 KG,1,,sin_novedad,,,
18002,8736,7707327441785,Fiprostar - Gatos.,0.5MILILITRO,1,,sin_novedad,,,
2602,1376,7702521099589,Cat Chow - Esterilizados Pague 7 KG Lleve 8 KG,8 KG,1,,sin_novedad,,,
105,58,7703090785064,Mirringo - Original Gatos Adultos,8 KG,1,1,sin_novedad,"",18,2026-01-29 23:28:30.202129
106,58,7707321674530,Carval - Vibix F3+R,1 ml,0,0,sin_novedad,"",18,2026-01-29 23:28:40.566711
18030,8749,857848000651,Max - Cat Adulto Pollo Y Arroz,3 KG,1,,sin_novedad,,,
18031,8750,7898604432869,N&D Ancestral Feline Frango,1.5 KG,1,,sin_novedad,,,
18032,8751,8713184229922,Bravecto 37 Días - Tableta Antipulgas Perros de 20 a 40 KG,1 TABLETA,1,,sin_novedad,,,
18033,8752,781718823616,Peluditos Barf - Natural Barf,750 GR,7,,sin_novedad,,,
18038,8756,7707772810334,Natural Freshly - Ambientador Antiestres Biopronnabis CBD,240 MILILITRO,1,,sin_novedad,,,
18062,8766,7503008553248,Nupec - Adulto Razas Pequeñas,2 KG,1,,sin_novedad,,,
18063,8766,7503020053337,Nupec - Treats Smart,180 GR,1,,sin_novedad,,,
18064,8766,8713184147530,"Bravecto - Perros De 4,5 Hasta 10 Kg",1 TABLETA,1,,sin_novedad,,,
18066,8768,52742186306,Hills Pd-I/D Low Fat Alimento Húmedo Perro Bajo En Grasa Sabor Original,13 OZ,1,,sin_novedad,,,
18067,8768,52742701103,Hills Pd-I/D Alimento Húmedo Perro Cuidado Hepático Sabor Pollo,13 OZ,2,,sin_novedad,,,
18068,8768,7702487196964,Petys - Pañitos Húmedos,80 UNDS,1,,sin_novedad,,,
18072,8771,52742713908,Hills Sd - Puppy Small Bites Alimento Perro Cachorro Sabor Pollo,"4,5 LB",1,,sin_novedad,,,
12903,6333,7703381243501,NexGard Spectra - Tableta Masticable para Perros 15.1 - 30 KG,15.1 - 30 KG,1,1,sin_novedad,"",21,2026-02-23 15:10:12.226804
14559,7175,7707205157760,Agility Gold - Piel Pequeños Adultos,8 KG,2,,sin_novedad,,,
18096,8783,7702521409937,Excellent - Urinary Cat,1 KG,1,,sin_novedad,,,
18097,8784,52742909806,Hills - Science Diet Adult 7+ Small Paws Chicken Meal Dog,"4,5 LB",1,,sin_novedad,,,
18098,8784,855958006693,Churu - Inaba Cat Snack 4 Piezas Chicken With Crab,56 GR,1,,sin_novedad,,,
18099,8784,854871008944,Churu - Inaba Bites Chicken Wraps with Tuna and Salmon Recipe,3 uds,1,,sin_novedad,,,
18130,8798,7707205158194,Agility Gold - Gatitos,1.5 KG,1,,sin_novedad,,,
18131,8798,857276007642,Churu - Inaba Tuna Variety Pack Bombonera,50 uds,1,,sin_novedad,,,
18145,8803,7898574026129,Hydra - Moisturizing Conditioner,1 Lt LITROS,1,,sin_novedad,,,
18146,8803,7898574026136,Hydra  - Withening Shampoo,1 LITROS,1,,sin_novedad,,,
18153,8808,7896588947348,Equilibrio - Light Razas Pequeñas Adulto,2 KG,1,,sin_novedad,,,
13021,6405,9403212451805,Valentín For Pets - Chaleco Osito,Rosa - Talla M,1,1,sin_novedad,"",27,2026-02-23 14:41:18.021013
13013,6400,7503008553279,Nupec - Adulto Razas Pequeñas,8 KG,1,1,sin_novedad,"",27,2026-02-23 14:49:41.498554
12990,6385,7708694229990,Bonnat - Grain Free Feline Sterilized,1.5 KG,2,2,sin_novedad,"",21,2026-02-23 15:10:19.147731
14621,7204,74198614028,Taste Of The Wild - Rocky Mountain Feline Venado Y Salmón,14  LB,1,,sin_novedad,,,
14622,7204,64992103453,Orijen - Original,2.04 KG,1,,sin_novedad,,,
14623,7204,8713184147653,Bravecto - Perros De 10 Hasta 20 Kg,1 TABLETA,1,,sin_novedad,,,
14624,7204,7702521772475,Fancy Feast - Alimento Húmedo Petits Filets Pague 4 Lleve 5 Sobres,425 GR,2,,sin_novedad,,,
14626,7206,7708228519092,Besties - Alimento Perros Adultos Sabor Carne y Pollo,8 KG,1,,sin_novedad,,,
14627,7207,750258952896,Whole Barf - Original Taste,500 GR,5,,sin_novedad,,,
14628,7207,750258952827,Whole Barf - Tasty Buffalo,500 GR,5,,sin_novedad,,,
14629,7207,750258952841,Whole Barf - Tasty Lamb,500 GR,5,,sin_novedad,,,
14630,7207,750258952865,Whole Barf - Tasty Tilapia,500 GR,5,,sin_novedad,,,
18188,8821,5414736047935,Simparica - Perros De 10 Hasta 20 Kg.,1 Tableta,1,,sin_novedad,,,
14666,7221,7707321674141,Carval - Aciflux Tableta,500 Mg x 20Tabletas MEDICAMENTOS,3,,sin_novedad,,,
14667,7221,7707912072950,Reeld's - Ronik Grain Free Salmón,500 GR,50,,sin_novedad,,,
14681,7229,781718823616,Peluditos Barf - Natural Barf,750GR,16,,sin_novedad,,,
13046,6415,7707196563618,Freemiau - Arena Para Gato Aroma Lavanda,"4,5 KG",1,1,sin_novedad,"",27,2026-02-23 14:49:45.74539
13074,6432,3030301000144,Furry - Combo 2 Arenas Aglomerantes Premium Furry Black,Combo,1,1,sin_novedad,"",27,2026-02-23 14:47:41.703818
13057,6422,074198613717,Taste Of The Wild - Prey Angus Beef For Cats,6 LB,1,1,sin_novedad,"",21,2026-02-23 15:10:28.197649
14654,7216,7709034382795,Br For Cat -  Adulto Salmón,3KG,1,1,sin_novedad,"",32,2026-02-26 14:34:04.23695
18226,8832,7709990740271,Artri-Tabs - Tabletas Saborizadas.,45 MEDICAMENTOS,1,,sin_novedad,,,
14706,7233,781718823616,Peluditos Barf - Natural Barf,750GR,10,,sin_novedad,,,
14712,7238,7707205154479,Agility Gold - Pequeños Adultos,7 KG,1,,sin_novedad,,,
18233,8837,7706358083254,Meloxic 2,,1,,sin_novedad,,,
14717,7242,52742710402,Hills Sd - Adult 7+ Alimento Saludable Gato Senior Sabor Pollo,4 LB,1,,sin_novedad,,,
18242,8840,7707205151225,Agility Gold - Grandes Adultos,3 KG,1,,sin_novedad,,,
18244,8841,7702487000636,CanAmor - Shampoo Rinse,230 MILILITRO,1,,sin_novedad,,,
18245,8841,7702487196544,Petys - Pañitos Húmedos,50 UNDS,1,,sin_novedad,,,
14739,7252,50000290482,Félix - Paté Salmón,156  GR,5,,sin_novedad,,,
14740,7252,3182550768474,Royal Canin - Satiety Cat,1.5 KG,1,,sin_novedad,,,
14741,7252,7709214028840,Foficat - Arena Para Gatos,10 KG,1,,sin_novedad,,,
13105,6451,074198608126,Diamond Naturals - Indoor Cat Formula,6 LB,1,1,sin_novedad,"",27,2026-02-23 14:49:31.078441
14719,7242,854871008371,Churu Pops - Inaba Cat 4 Piezas Atún,60 GR,1,1,sin_novedad,"",32,2026-02-26 14:36:28.385613
13104,6450,7703090677994,Vivance - Vitality Perros Adultos,2 KG,1,1,sin_novedad,"",21,2026-02-23 15:10:43.980792
13103,6450,7501072204462,Pro Plan - Adultos razas pequeñas con paladares exigentes,1 KG,1,1,sin_novedad,"",21,2026-02-23 15:10:38.382546
13119,6456,7896588947201,Equilibrio - Razas Pequeñas Adulto,7.5 KG,1,1,sin_novedad,"",21,2026-02-23 15:10:49.862788
14728,7244,7708228519290,"True Nature - Alimento Kitten Pollo, Pescado y Vegetales",3 KG,1,1,sin_novedad,"",32,2026-02-26 14:34:40.632391
14720,7242,850006715398,Churu - Inaba Dog Snack 4 Piezas Chicken,56 GR,1,1,sin_novedad,"",32,2026-02-26 14:35:03.299828
14730,7246,7703090060253,Nutriss - Adultos Carne Y Vegetales,30 KG,1,1,sin_novedad,"",32,2026-02-26 14:35:32.147466
14771,7268,781718792974,Peluditos Barf - Natural Barf,500 GR,15,,sin_novedad,,,
14774,7270,7707205157760,Agility Gold - Piel Pequeños Adultos,8 KG,1,,sin_novedad,,,
14775,7270,7708388303654,Dog's Natural Care - Bálsamo Curativo,21 GR,1,,sin_novedad,,,
2923,1537,7702487190269,Petys - Arena Aglomerante,10 KG,1,,sin_novedad,,,
2924,1537,7702521026653,Felix - Alimento Húmedo Gato Precio Especial Pack x8,680 GR,1,,sin_novedad,,,
2926,1539,7709399777410,Foficat - Arena Para Gatos,25KG,1,,sin_novedad,,,
14790,7281,7709355546487,MAÍZ CAT - Arena de Maíz Para Gato,10 KG,1,,sin_novedad,,,
14796,7284,7702521106461,Excellent - Adulto Razas Medianas Y Grandes Pollo Y Arroz,3 KG,1,,sin_novedad,,,
18304,8875,52742867205,Hills Pd - W/D Alimento Para Perro Manejo Peso/Glucosa Sabor Pollo,17 LB,1,,sin_novedad,,,
18305,8875,7709990740271,Artri-Tabs - Tabletas Saborizadas.,45 MEDICAMENTOS,1,,sin_novedad,,,
14808,7291,857848000620,Max - Cat Adulto Pollo Y Arroz,10.1 KG,1,1,sin_novedad,"",32,2026-02-26 14:29:17.524136
14762,7264,7702521209483,Excellent - Adult Cat,7.5KG,1,1,sin_novedad,"",32,2026-02-26 14:31:06.552599
14791,7282,7709119966056,Pixie - Dieta Horneada Perro Senior Pavo,500 GR,5,5,sin_novedad,"",32,2026-02-26 14:37:45.704508
14792,7282,7709376807666,Pixie - Dieta Horneada Pollo Baja En Grasa Y Proteína,500 GR,5,5,sin_novedad,"",32,2026-02-26 14:37:56.024976
18312,8879,7707205154479,Agility Gold - Pequeños Adultos,7 KG,1,,sin_novedad,,,
18321,8884,739802443868,Salvaje - Dieta Horneada Natural Congelada de Carne,500 GR,5,,sin_novedad,,,
18322,8884,739802443882,Salvaje - Dieta Horneada Natural Congelada de Pollo,500 GR,5,,sin_novedad,,,
18323,8884,739802443875,Salvaje - Dieta Horneada Natural Congelada de Salmon,500 GR,5,,sin_novedad,,,
14830,7303,7707205154479,Agility Gold - Pequeños Adultos,7 KG,1,,sin_novedad,,,
18337,8891,7707912072950,Reeld's - Ronik Grain Free Salmón,500GR,6,,sin_novedad,,,
18338,8891,7707912072646,Reeld´s - Ronik Grain Free Sabor Cordero,500GR,6,,sin_novedad,,,
18339,8892,7707232097336,Natural Freshly - Omega 3 FCO 2X1,50 Capsulas,1,,sin_novedad,,,
14851,7312,857848000583,Max - Light Pollo y Arroz,15 KG,1,,sin_novedad,,,
18366,8903,74198609628,Taste Of The Wild - High Praire Canine Bisonte Y Venado,5 LB,1,,sin_novedad,,,
18367,8904,52742006444,Hills Sd- Light Alimento Saludable Gato Adulto Sabor Pollo,16 LB,1,,sin_novedad,,,
13258,6525,052742862101,Hills Pd - K/D Alimento Saludable Para Perro Cuidado Renal Sabor Pollo,"8,5 LB",1,1,sin_novedad,"",21,2026-02-23 15:11:00.608343
14856,7314,38100179890,Pro Plan Veterinary Diets - HA Hydrolized Canine,377 GR,4,4,sin_novedad,"",32,2026-02-26 14:28:03.317473
14878,7326,7707205154110,Chunky - Pollo Razas Pequeñas Adulto,8 KG,1,,sin_novedad,,,
14902,7335,7702521102364,Cat Chow - Vida Sana,3 KG,1,,sin_novedad,,,
18399,8918,781718823616,Peluditos Barf - Natural Barf,750 GR,6,,sin_novedad,,,
14908,7341,52742859903,Hills Pd - R/D Alimento Para Perro Pérdida De Peso Sabor Pollo,"27,5 LB",1,,sin_novedad,,,
14909,7342,606110140775,Wow Can - Alimento Pollo y Ternera Al Vapor sin Refrigeración,300 GR,2,,sin_novedad,,,
14910,7342,781718792974,Peluditos Barf - Natural Barf,500 GR,20,,sin_novedad,,,
14911,7342,606110140782,Wow Can - Alimento Salmón Al Vapor sin Refrigeración,300 GR,2,,sin_novedad,,,
14912,7343,850006715336,Churu - Inaba Cat Diet,50 UN,1,,sin_novedad,,,
14913,7343,3030301000144,Furry - Combo 2 Arenas Aglomerantes Premium Furry Black,Combo,5,,sin_novedad,,,
14914,7343,7898604435082,N&D - Ocean Feline Adult Castrado Salmao,7.5 KG,1,,sin_novedad,,,
18413,8922,855958006662,Churu - Inaba Cat Atún y Salmón,4 uds,2,,sin_novedad,,,
18414,8922,7708184209556,Wow Cat - Salmón Cocinado sin Refrigeración,100 GR,1,,sin_novedad,,,
13323,6555,3182550716888,Royal Canin - Mini Adult,8 KG,1,1,sin_novedad,"",27,2026-02-23 14:48:51.618213
14937,7352,7898349703132,Monello - Tradicional Adulto,25 KG,1,,sin_novedad,,,
14949,7358,7702084050966,Dogourmet - Carne A La Parrilla Adulto,25 KG,1,,sin_novedad,,,
14950,7358,769602435435,Maos Pets - Gimnasio Redondo,Gris Oscuro,1,,sin_novedad,,,
14951,7359,857848000583,Max - Light Pollo y Arroz,15 KG,1,,sin_novedad,,,
14956,7361,857848126689,Max Vita - Alimento Perro Adulto Pollo y Vegetales,8 KG,1,,sin_novedad,,,
14957,7361,850044321643,Con Sentido - Guantes Mascotas,M,1,,sin_novedad,,,
14962,7364,7898349703248,Monello - Raza Pequeña,15 KG,1,,sin_novedad,,,
14964,7365,7896588950324,Max - Premium Adulto Máximo Desempeño Carne,20 KG,1,,sin_novedad,,,
14991,7375,74198613908,Taste Of The Wild - Wetlands Canine Pato Asado,14 LB,1,,sin_novedad,,,
14992,7375,74198613922,Taste Of The Wild - Pacific Stream Canine Salmón Ahumado,14 LB,1,,sin_novedad,,,
13379,6583,7709163419539,Le Glace - Helado Gato Catnip,40 GR,1,1,sin_novedad,"",21,2026-02-23 15:11:12.792672
13380,6583,7708551380376,Firulais y Misifu - Cajita Premios 260 gr,30 uds,1,1,sin_novedad,"",21,2026-02-23 15:11:19.269529
13381,6583,7708551380192,Firulais y Misifu - Tamales 400 gr,4 uds,1,1,sin_novedad,"",21,2026-02-23 15:11:25.601982
13382,6583,7707903300147,Natural Select - Salsa Natural Select Gatos Sabor a Pollo,220 MILILITRO,1,1,sin_novedad,"",21,2026-02-23 15:11:29.676333
14963,7364,7708786723078,Esencias Gabrica - Esencias Florales De Ansiedad,SPRAY 250 Ml MILILITRO,1,1,sin_novedad,"",32,2026-02-26 14:30:37.554969
14994,7376,7707319650027,Mypet - Hueso Cerdo,Unidad,1,1,sin_novedad,"",32,2026-02-26 14:33:47.615673
14938,7352,7453015301014,Barf Origenes - Alimento Congelado Menú Del Campo Carne de Pollo,500 GR,2,2,sin_novedad,"",26,2026-02-26 14:33:00.90505
14940,7354,7707205154493,Chunky - Pollo Adultos,25 KG,1,1,sin_novedad,"",32,2026-02-26 14:29:31.511807
14987,7372,7896588944576,Equilibrio - Gato Castrado Adulto,1.5 KG,1,1,sin_novedad,"",32,2026-02-26 14:30:43.986855
14999,7378,7709355546487,MAÍZ CAT - Arena de Maíz Para Gato,10 KG,2,,sin_novedad,,,
15018,7388,74198179039,Nutra Nuggets - Mantenimiento Gato,3 KG,1,,sin_novedad,,,
15023,7391,7703090904632,Ringo Original - Adulto,20 KG,1,,sin_novedad,,,
15029,7395,7707205157760,Agility Gold - Piel Pequeños Adultos,8 KG,1,,sin_novedad,,,
15030,7395,7709153446507,Wolf - Caja De Mini Galleta De Hígado Raza Mediana,250  GR,1,,sin_novedad,,,
15031,7395,7708228519818,Besties - Huesos Masticables Mini Sabor Mantequilla de Mani,9 uds,1,,sin_novedad,,,
15032,7395,7708228519580,Besties - Huesos Masticables Mini Sabor Menta,9 uds,1,,sin_novedad,,,
15033,7395,7708228519450,Besties - Huesos Masticables Mini Sabor Pollo,9 uds,1,,sin_novedad,,,
15034,7395,7707865309196,Let's Be Fresh - Bolsas Biodegradables Aroma Citronella 6 Rollos,120 bolsas,1,,sin_novedad,,,
15035,7395,850044321865,Con Sentido - Guantes Spa para Mascotas,Única,1,,sin_novedad,,,
15038,7398,74198608133,Diamond Naturals - Indoor Cat Formula,18 LB,1,,sin_novedad,,,
15039,7398,7709399777410,Foficat - Arena Para Gatos,25 KG,1,,sin_novedad,,,
15040,7398,29534752161,Salvaje - Galletas para Gato Piel y Pelaje,70 GR,1,,sin_novedad,,,
15041,7398,855958006693,Churu - Inaba Cat Snack 4 Piezas Chicken With Crab,56 GR,1,,sin_novedad,,,
15042,7399,739802443868,Salvaje - Dieta Horneada Natural Congelada de Carne,500 GR,10,,sin_novedad,,,
15043,7399,739802443882,Salvaje - Dieta Horneada Natural Congelada de Pollo,500 GR,10,,sin_novedad,,,
15044,7399,739802443875,Salvaje - Dieta Horneada Natural Congelada de Salmon,500 GR,10,,sin_novedad,,,
14998,7378,3182550748155,Royal Canin - Renal Especial Cat,2 KG,3,3,sin_novedad,"",32,2026-02-26 14:30:02.061228
13452,6616,855958006556,Churu - Inaba Cat Atún,4 uds,1,1,sin_novedad,"",21,2026-02-23 15:11:34.798319
13453,6616,855958006587,Churu - Inaba Cat Atún y Viera,4 uds,1,1,sin_novedad,"",21,2026-02-23 15:11:39.705073
13455,6616,7709034382795,Br For Cat -  Adulto Salmón,3 KG,1,1,sin_novedad,"",21,2026-02-23 15:11:51.558452
17942,8707,7709049265755,Br For Cat - Wild Adulto,3 KG,1,1,sin_novedad,"",27,2026-02-26 22:19:07.554643
14993,7376,7707205153502,Chunky Delidog Dent,150 GR,1,1,sin_novedad,"",32,2026-02-26 14:26:32.339042
14961,7364,7501072207258,Pro Plan - Estirilizados con OptiRenal,3 KG,1,1,sin_novedad,"",32,2026-02-26 14:28:28.268608
14995,7376,38100119315,Pro Plan Veterinary Diets - Supplement Fortiflora X 30 Unid,900 GR,1,1,sin_novedad,"",32,2026-02-26 14:32:42.963115
19728,9519,7709376807680,Pixie - Dieta Horneada Cordero,500 GR,5,5,sin_novedad,"",27,2026-02-27 15:00:49.841416
13495,6632,7707319650058,Mypet - Oreja De Cerdo Entera,Unidad,1,1,sin_novedad,"",27,2026-02-23 14:48:41.042468
19729,9519,7709376807642,Pixie -Dieta Horneada Pollo,500 GR,5,5,sin_novedad,"",27,2026-02-27 15:04:09.807779
13494,6632,7707319650508,Mypet - Bombonera Mix,483 GR,2,2,sin_novedad,"",27,2026-02-23 14:48:29.624007
19727,9519,7709376807673,Pixie - Dieta Horneada Carne De Res,500 GR,5,5,sin_novedad,"",27,2026-02-27 15:01:57.652708
17980,8728,7702521785321,One - Alimento Húmedo Para Perros Precio Especial x4,340GR,5,5,sin_novedad,"",27,2026-02-26 22:19:27.513143
14718,7242,7707205157746,Agility Gold - Piel Pequeños Adultos,1.5 KG,1,1,sin_novedad,"",32,2026-02-26 14:28:56.834793
18243,8841,7703381240043,NexGard - Perros De 2 Hasta 4 Kg,1 TABLETA,1,1,sin_novedad,"",27,2026-02-26 22:19:44.973994
14551,7172,52742005355,Hills Sd -7+ Small Bites Alimento Perro Adulto Pequeño Sabor Pollo,"4,5 LB",1,1,sin_novedad,"",32,2026-02-26 14:31:48.254007
14891,7332,781718792974,Peluditos Barf - Natural Barf,500 GR,15,15,sin_novedad,"",26,2026-02-26 14:33:02.164713
13575,6669,PD400000126,Paw Day - Juguete Mordedor Interactivo Pato,Rojo,1,1,sin_novedad,"",27,2026-02-23 14:47:34.28423
13564,6661,7502010428094,Rondel - Virbac Antiparasitario,10 MILILITRO,3,3,sin_novedad,"",21,2026-02-23 15:12:02.870108
13574,6669,7708304362970,Basic Farm - Dentyfarm Tubo,30 GR,1,1,sin_novedad,"",27,2026-02-23 14:49:36.401422
19768,9538,038100119315,Pro Plan Veterinary Diets - Supplement Fortiflora X 30 Unid,900 GR,1,1,sin_novedad,"",27,2026-02-27 14:59:06.828739
19765,9538,052742859903,Hills Pd - R/D Alimento Para Perro Pérdida De Peso Sabor Pollo,"27,5 LB",1,1,sin_novedad,"",27,2026-02-27 15:02:11.105588
19767,9538,7707232097336,Natural Freshly - Omega 3 FCO 2X1,50 Capsulas,2,2,sin_novedad,"",27,2026-02-27 14:59:39.250603
14443,7119,7703381243495,NexGard Spectra - Tableta Masticable para Perros 7.6 - 15 KG,7.6 - 15 KG,1,1,sin_novedad,"",32,2026-02-26 14:36:17.059987
19869,9591,7707205154479,Agility Gold - Pequeños Adultos,7 KG,1,,sin_novedad,,,
13648,6710,7707205150730,Agility Gold - Gatos Esterilizados,1.5 KG,1,1,sin_novedad,"",21,2026-02-23 15:12:08.807927
19850,9579,3182550793001,Royal Canin - Mini Puppy,2 KG,1,1,sin_novedad,"",27,2026-02-27 14:57:47.819446
19881,9596,7898049719273,Apoquel - Tratamiento Dermatológico,5.4 Mg 20 MEDICAMENTOS,1,1,sin_novedad,"",27,2026-02-27 15:17:41.73636
19880,9596,7703381244546,NexGard - Perros De 4.1 Hasta 10 Kg.,1 TABLETA,1,1,sin_novedad,"",27,2026-02-27 15:17:53.06261
19849,9578,7709355546487,MAÍZ CAT - Arena de Maíz Para Gato,10 KG,1,1,sin_novedad,"",27,2026-02-27 15:19:41.159515
19908,9607,7709355546487,MAÍZ CAT - Arena de Maíz Para Gato,10 KG,1,,sin_novedad,,,
13724,6755,030111604408,Royal Canin - Kitten Instinctive,85 GR,1,1,sin_novedad,"",21,2026-02-23 15:12:29.100007
13687,6735,7707205151232,Agility Gold - Grandes Cachorros,3 KG,1,1,sin_novedad,"",27,2026-02-23 14:49:39.471924
13725,6755,29534752157,Laika By Rausch - Galletas de Cordero y Arroz,150 GR,1,1,sin_novedad,"",21,2026-02-23 15:12:35.116441
13726,6755,29534752158,Laika By Rausch - Galletas de Fibra y Control Bola de Pelos,65 GR,5,5,sin_novedad,"",21,2026-02-23 15:12:43.751899
13688,6736,4007221050858,Advantage - Antipulgas Perros De 4 Hasta 10 Kg.,1 MILILITRO,2,2,sin_novedad,"",21,2026-02-23 15:12:18.389628
13703,6744,750258952865,Whole Barf - Tasty Tilapia,500 GR,50,50,sin_novedad,"",21,2026-02-23 15:12:24.351121
13727,6755,0781159484933,Reeld´s - Medical Pet Tgi Tripack,825 GR,3,3,sin_novedad,"",21,2026-02-23 15:12:49.065041
13728,6755,030111470713,Royal Canin VHN - Gastro Intestinal Low Fat Lata,385 GR,1,1,sin_novedad,"",21,2026-02-23 15:13:01.194875
13573,6669,7702487719682,CanAmor - Shampoo Piel Sensible,230 MILILITRO,1,1,sin_novedad,"",27,2026-02-23 14:49:34.327895
